Phantasy Star Online Episode I&II Plus (GC)
File list contributed by WhisperWind

Size   Filename      Directory
122896   map1.acx      <root>
124944   quest.acx      <root>
122896   map2.acx      <root>
102840   SMPL_MEM.ACX      <root>
77840   bass.acx      <root>
5081676   VR1_N.adx      <root>
4894844   VR1_B.adx      <root>
5072436   VR1.adx      <root>
6266880   VR2_B.adx      <root>
3241984   vol_opt2.adx      <root>
2494464   vol_opt1.adx      <root>
2844672   Valentine.adx      <root>
4943872   TITLE.adx      <root>
11960320   T2.adx      <root>
11335680   T1.adx      <root>
6916096   S_N.adx      <root>
6914048   S_B.adx      <root>
62082   start.adx      <root>
2967552   soutoku.adx      <root>
5081676   VR2_N.adx      <root>
4794368   smile.adx      <root>
3819520   SHOP.adx      <root>
5638144   SHIP_N.ADX      <root>
5552128   water.adx      <root>
62136   win.adx      <root>
6174720   W_B.adx      <root>
6467584   R_N.adx      <root>
5228544   R_B.adx      <root>
62082   reila2.adx      <root>
103428   reila.adx      <root>
3323904   WEDDING.adx      <root>
6176768   W_N.adx      <root>
6334464   proto2.adx      <root>
5351424   proto1.adx      <root>
62082   paila2.adx      <root>
103428   paila.adx      <root>
5283234   OPENING_LALA.adx      <root>
5275782   OPENING.ADX      <root>
3713024   open.adx      <root>
610304   nomal.adx      <root>
35190   miniclear.adx      <root>
3158016   MILES.adx      <root>
2953216   MEDICAL.adx      <root>
4481024   matter.adx      <root>
26190   zenmetu.adx      <root>
4966400   SHIP_B.ADX      <root>
3825664   ADVR.adx      <root>
4370432   mambo.adx      <root>
62082   maila2.adx      <root>
103428   maila.adx      <root>
3280896   MACHIN_N.ADX      <root>
3278848   MACHIN_B.ADX      <root>
62046   lose.adx      <root>
6053888   LOBBY.adx      <root>
3297280   LIVE.adx      <root>
4491264   Zarathustra.adx      <root>
16092   kaijo.adx      <root>
5543936   J_N.adx      <root>
27486   j_levelup.adx      <root>
36558   j_kantei.adx      <root>
5541888   J_B.adx      <root>
5451776   jungle.adx      <root>
2883584   Jinglebell.adx      <root>
7436288   hearts.adx      <root>
6881280   HALLOWEEN.adx      <root>
1925120   HALL.adx      <root>
4405248   GUILD.adx      <root>
3213312   gryphon.adx      <root>
62082   goula2.adx      <root>
103428   goula.adx      <root>
67302   goldeath.adx      <root>
6273024   FOREST_N.ADX      <root>
4376576   FOREST_B.ADX      <root>
62082   farla2.adx      <root>
103428   farla.adx      <root>
10127360   Event.adx      <root>
62082   estla2.adx      <root>
103428   estla.adx      <root>
5066752   ESCAPE.adx      <root>
5033984   EPI2.adx      <root>
4857856   EPI1.adx      <root>
5017600   ENDING_LOOP.adx      <root>
10151802   ENDING_LALA.adx      <root>
10130814   ENDING.ADX      <root>
62028   end.adx      <root>
5005312   ED_PIANO.adx      <root>
3807232   Easter.ADX      <root>
5343232   DUEL2.adx      <root>
6266880   DUEL1.adx      <root>
3553280   DREAMS_KIDS.adx      <root>
3866624   dreams.adx      <root>
33030   draroar.adx      <root>
3694592   DRAGON2.adx      <root>
2746368   DRAGON.adx      <root>
67734   dradeath.adx      <root>
62496   dfdeath.adx      <root>
2779136   delo2.adx      <root>
2603008   DELO.adx      <root>
68868   deldeath.adx      <root>
55890   death.adx      <root>
2910208   dark_b2.adx      <root>
2717696   dark_b1.adx      <root>
5660672   dark2.adx      <root>
5234688   dark1.adx      <root>
5344614   CUBE_OPENING_LALA.adx      <root>
5323914   CUBE_OPENING.adx      <root>
10977280   CUBE_ENDING_LOOP.adx      <root>
11626578   CUBE_ENDING.adx      <root>
59670   clear.adx      <root>
2879488   CITY.adx      <root>
933888   chu_f.adx      <root>
3493888   CHARA.adx      <root>
5261312   CAVE_N.ADX      <root>
5261312   CAVE_B.ADX      <root>
3217408   carnaval.adx      <root>
3725312   labo.adx      <root>
1566720   ItemKT.afs      <root>
1695744   ItemTexture.afs      <root>
1005568   ItemModel.afs      <root>
1415168   plAtex.afs      <root>
3094528   plBtex.afs      <root>
1986560   plCtex.afs      <root>
1558528   plDtex.afs      <root>
16371712   slbgm_space.afs      <root>
14176256   slbgm_seabed.afs      <root>
13058048   slbgm_ruin.afs      <root>
8298496   slbgm_machine.afs      <root>
14090240   slbgm_jungle.afs      <root>
11444224   slbgm_forest.afs      <root>
4804608   slbgm_dark.afs      <root>
12206080   slbgm_cave.afs      <root>
12464128   slbgm_ancient.afs      <root>
2082816   plEtex.afs      <root>
5341184   plZsmpnj.afs      <root>
593920   plYtex.afs      <root>
589824   plXtex.afs      <root>
563200   plWtex.afs      <root>
563200   plVtex.afs      <root>
563200   plUtex.afs      <root>
587776   plTtex.afs      <root>
585728   plStex.afs      <root>
2836480   plLtex.afs      <root>
1972224   plKtex.afs      <root>
2543616   plJtex.afs      <root>
3747840   plItex.afs      <root>
2516992   plHtex.afs      <root>
1992704   plGtex.afs      <root>
2492416   plFtex.afs      <root>
98316   screen.bin      <root>
